 ,en_US,pt_BR,fr,hi_IN,yo_NG,ja,zh_CN,ar,ru_RU
char1,hello,olá,allo,नमस्ते,ẹkọ.,こんにちは,你好,مرحباً,Привет
char2,how are you,como vai,comment allez-vous,आप कैसे हैं,Bawo ni,お元気ですか,你好吗,كيف حالك؟,Как дела
char3,options,opções,choix,विकल्प,ọrọ tuntun,選択肢,选项,خيارات,Параметры
comics,comics,banda desenhada,bandes dessinées,कॉमिक्स,kọ́míksì,漫画,漫画,قصص مصورة,Комиксы
new game,new game,novo jogo,nouveau jeu,नया खेल,wọlé lati ṣẹdálẹ,新しいゲーム,新游戏,لعبة جديدة,Новая игра
Continue,Continue,Continuar,Continuer,जारी रखें,tẹ,続ける,继续,استمر,Продолжить
continue,continue,continuar,continuer,जारी रखें,tẹ,続ける,继续,استمر,Продолжить
multiplayer,multiplayer,multijogador,multijoueur,बहु-खिलाड़ी,òwe múlẹ́,まるちぷれいやー,多人模式,لاعبون متعددون,mультиплеер
anime,anime,animação,animer,एनिमे,ọran,あにめ,动画,أنمي,aниме
practice,practice,Magic Sword,pratique,अभ्यास,Ile-iṣẹ,練習,练习,ممارسة,tренировка
cityscape,cityscape,urbano,urbain,शहर का दृश्य,Ayé ilu,都市の景観,都市风貌,منظر المدينة,Городской пейзаж
Wallet,Wallet,Carteira,Portefeuille,बटुआ,Apamọwọ,財布,钱包,محفظة,Кошелек
wallet,wallet,carteira,portefeuille,बटुआ,apamọwọ,財布,钱包,محفظة,kошелек
coins,coins,moedas,pièces,सिक्के,kòínì,コイン,硬币,عملات,Монеты
price,price,preço,prix,कीमत,Ọ̀yà,値段,价格,السعر,Цена
ID,ID,ID,ID,आईडी,ID,ID,标识,الهوية,ID
controls,controls,controles,contrôles,नियंत्रण,Ilo,こんとろーらー,操作,ضوابط,Управление
quit,quit,desistir,arrêter,छोड़ना,dariji,やめる,放弃,ترك,Выход
back,back,de volta,dos,पीछे,lẹhin,もどる,返回,رجوع,hазад
Back,Back,De volta,Dos,पीछे,Lẹhin,もどる,返回,رجوع,Назад
music,music,música,musique,संगीत,orin,おんがく,音乐,موسيقى,mузыка
shuffle,shuffle,embaralhar as músicas,mélanger,मिलाकर खेलना,jìjìlẹ́,しゃっふる,随机播放,امزج,Перемешать
help,help,ajuda,aider,मदद,ṣòfin,たすけて,帮助,مساعدة,Помощь
debug,debug,debugar,déboguer,डीबग,mọ́ nípada ewu,でばぐ,调试,إصلاح الأخطاء,Отладка
change controller,change controller,trocar o controle,changer de contrôleur,कंट्रोलर बदलें,fi ìlànì yẹ̀ títẹ̀,コントローラーをかえる,更换手柄,تغيير الوحدة التحكم,Сменить контроллер
github,github,github,github,गिटहब,github,ギットハブ,github,جيت هاب,repozitoriy GitHub
languague,languague,Idioma,langue,भाषा,ede,言語,语言,لغة,Язык
guide book,guide book,guia turístico,guide,मार्गदर्शिका,iwe inu didun,みちびきほん,指南书,كتاب دليل,Путеводитель
animatic,animatic,animatic,prévisualisation animée,एनिमैटिक,ayẹwọ̀-dínán,アニマティック,动画草图,أنيماتيك,Аниматик
merch,merchandise,mercadoria,marchandise,वस्त्रवस्तु,Ọja,商品,商品,بضائع,Мерч
bts,behind the scenes,por trás das câmeras,en coulisses,सीन के पीछे,niwaju aṣọ,舞台裏,幕后花絮,وراء الكواليس,Закулисье
Empty,Empty,Vazio,Vide,खाली,Òfo,空,空 ,فارغ,Пустой
Episode 1,episode,capítulo,episode,एपिसोड,Itiṣẹ,エピソード,剧集,الحلقة,Эпизод 1
obtained,obtained,obtido,obtenu,प्राप्त किया,gba,得られた,获得,مُقتَنىً,Получено
Lost,Lost,perdido,Perdu,खो गया,Ti sọnu,失った,丢失的,ضائع,Проиграл
Ring,Ring,Anel,Bague,अंगूठी,Oruka,指輪,戒指,خاتم,Кольцо
Bow,Bow,Arco,Arc,धनुष,ọfà,弓,弓,قَوس,Лук
Bomb,Bomb,Bomba,Bombe,बम,bọ́ọ̀mù,爆弾,炸弹,قنبلة,бомба
Health Potion,Health Potion,Poção de Vida,Potion de Santé,स्वास्थ्य अमृत,Oògùn Àláàyè,回復のポーション,生命药水,جرعة الصحة,Зелье здоровья
Arrow,Arrow,flecha,flèche,तीर,ọfà,矢,箭,سهم,стрела
Magic Sword,Magic Sword,Espada Mágica,Épée magique,जादुई तलवार,Magic idà,魔法の剣,魔剑,سيف سحري,Волшебный меч
Generic Item,Generic Item,Item genérico,Article générique,सामान्य वस्तु,Generic Nkan,汎用品,通用项目,البند العام,Обычный предмет
Bandit Head,Bandit Head,Cabeça de bandido,Tête de bandit,दस्यु प्रमुख,Ori Bandit,山賊の頭,强盗头,رئيس قطاع الطرق,Главарь бандитов
Home,Home,Casa,Maison,घर,Ile,家,家,بيت,Главная
Send Algos,Send Algos,Enviar Algos,Envoyer des Algo,अल्गोस भेजें,Firanṣẹ Algos,送信アルゴ,发送算法,أرسل ألجوس,Отправить Algos
